witness,claim,value_1,value_2,verified
PI countermodel,PI false / PII true,False,True,True
PII countermodel,PI true / PII false,True,False,True
rank undefined vs zero,None != 0,,0,True
rank one,rank = 1,1,distinct-pair-domain-empty,True
rank two,rank = 2 with defined zero coupling,2,True,True
rank three cyclic,cyclic closure = 1,3,True,True
single normal insufficient,ell3 in normal12 but cyclic false,True,False,True
degenerate radical,nonzero radical not transverse,1,False,True
3x3 block rank separation,block size 3 / realized rank 2,3,2,True
same rank different property,equal rank / strict value obstruction,True,True,True
same-size blocks,same size / encoded value obstruction,True,True,True
scalar collision,same displayed scalar / typed value obstruction,True,True,True
conditional rank three,2D nondegenerate + 1D intrinsic normal -> rank 3,3,3,True
